Date,"Roy Phillipps","Macrotarsomys petteri","The Last of Us","Sweet Track","OK Computer","Upper Pine Bottom State Park","1954 Guatemalan coup d'état","Auriscalpium vulgare","Melbourne Castle"
2016-08-07,7,9,4403,89,1316,10,352,9,12
2016-08-08,7,4,3907,82,1269,10,367,10,6
2016-08-09,7,13,3834,87,1321,11,408,11,10
2016-08-10,9,4,3788,129,1107,9,399,9,12
2016-08-11,4,5,3842,80,1237,9,380,6,11
2016-08-12,5,7,3619,73,1180,7,296,8,13
2016-08-13,3,6,3637,92,988,7,311,9,10
2016-08-14,8,9,4311,68,1085,10,319,14,14
2016-08-15,6,5,4139,84,1005,6,297,13,13
2016-08-16,6,7,4025,72,1008,10,299,7,15
2016-08-17,4,7,3798,91,978,5,338,11,9
2016-08-18,12,9,3823,94,1171,14,513,15,13
2016-08-19,9,8,3719,116,1153,10,473,11,14
2016-08-20,9,10,4245,78,1030,14,241,11,17
2016-08-21,16,15,4403,73,1088,17,338,23,21
2016-08-22,10,11,4082,97,1285,10,346,8,14
2016-08-23,13,10,4741,105,1122,12,437,9,15
2016-08-24,8,22,6071,85,1129,12,479,12,15
2016-08-25,6,18,4525,88,1186,6,421,10,12
2016-08-26,8,14,4385,82,1214,19,293,14,16
2016-08-27,12,15,4512,81,1070,8,265,15,15
2016-08-28,5,9,5290,75,1147,14,345,12,21
2016-08-29,11,10,4875,100,1199,13,366,20,19
2016-08-30,5,13,4537,107,1159,16,373,11,14
2016-08-31,7,6,4277,85,1113,8,365,12,11
2016-09-01,11,14,3959,89,1130,14,387,15,20
2016-09-02,9,12,4086,94,1157,13,321,22,17
2016-09-03,8,7,4003,73,1038,9,277,12,12
2016-09-04,5,8,4341,90,1137,14,311,9,17
2016-09-05,9,13,4394,92,1180,13,364,17,21
2016-09-06,8,14,4300,76,1089,17,386,19,14
2016-09-07,3,4,3756,87,1024,7,395,23,11
2016-09-08,9,8,6264,83,1043,12,373,24,10
2016-09-09,10,13,4188,80,1071,14,325,25,18
2016-09-10,5,7,3844,70,991,9,310,29,12
2016-09-11,3,3,4268,74,1187,6,352,23,10
2016-09-12,8,9,4250,93,1084,13,411,28,18
2016-09-13,11,13,4088,114,1104,16,459,24,13
2016-09-14,10,13,4484,90,1110,9,409,23,21
2016-09-15,5,8,3815,103,1609,10,367,10,6
2016-09-16,9,17,3490,70,1534,14,399,15,11
2016-09-17,7,6,3678,74,1152,10,293,8,11
2016-09-18,13,16,4195,89,1144,13,368,20,14
2016-09-19,12,10,4082,123,1199,6,517,17,15
2016-09-20,3,3,3787,74,1082,5,401,10,11
2016-09-21,4,6,4116,86,1052,17,476,18,17
2016-09-22,9,69,3632,79,1344,194,1351,116,135
2016-09-23,118,8,3811,197,1438,13,538,7,13
2016-09-24,7,9,3824,79,999,12,345,15,12
2016-09-25,5,5,4137,97,1045,8,326,10,14
2016-09-26,11,10,5357,125,1110,14,447,14,14
2016-09-27,5,11,4737,77,1032,9,472,10,10
2016-09-28,9,10,5334,91,1058,16,496,14,24
2016-09-29,10,18,4369,120,1156,17,498,20,14
2016-09-30,7,6,4564,93,1225,6,429,14,7
2016-10-01,4,12,4389,66,1197,13,346,14,15
2016-10-02,10,7,4813,74,1629,17,373,14,13
2016-10-03,7,8,4857,80,1929,9,584,23,18
2016-10-04,6,8,4285,106,1212,11,632,10,11
2016-10-05,5,4,3926,108,1292,11,477,15,6
2016-10-06,6,8,3942,102,1302,12,407,11,8
2016-10-07,8,12,4287,86,1231,17,352,14,16
2016-10-08,12,16,3959,79,1244,13,314,17,20
2016-10-09,8,6,4316,79,1242,8,439,17,9
2016-10-10,8,10,4036,101,1298,13,495,24,22
2016-10-11,5,11,3865,107,1260,11,498,10,18
2016-10-12,10,7,3645,76,1338,8,487,12,19
2016-10-13,15,10,3380,77,1256,11,514,21,11
2016-10-14,13,10,3407,84,1270,14,420,16,14
2016-10-15,10,10,3709,95,1129,12,328,18,11
2016-10-16,8,5,4385,112,1124,13,430,16,19
2016-10-17,7,9,4459,87,1232,8,696,14,10
2016-10-18,9,11,4213,87,1131,11,660,21,16
2016-10-19,4,8,3824,79,1199,7,646,26,11
2016-10-20,9,7,7573,88,1667,13,608,16,11
2016-10-21,7,7,7809,77,1318,8,629,17,12
2016-10-22,4,3,5642,76,1372,7,359,9,9
2016-10-23,11,10,5439,69,1340,6,406,12,8
2016-10-24,8,7,6101,88,1423,8,550,19,12
2016-10-25,11,14,5521,87,1392,15,616,20,19
2016-10-26,6,10,4345,69,1328,9,553,11,13
2016-10-27,10,7,4119,83,1331,15,511,11,15
2016-10-28,14,17,4208,69,1428,24,484,25,21
2016-10-29,10,7,3866,67,1364,7,387,14,8
2016-10-30,7,8,4354,72,1412,11,404,20,17
2016-10-31,11,7,4214,80,1485,7,499,20,9
2016-11-01,10,13,3936,96,1368,15,494,14,12
2016-11-02,8,8,4162,80,1565,8,495,25,10
2016-11-03,7,12,3612,91,1303,9,557,18,17
2016-11-04,13,9,3758,78,1462,11,487,13,12
2016-11-05,3,3,3799,86,1297,8,313,16,6
2016-11-06,7,6,4324,77,1220,9,421,10,20
2016-11-07,8,11,4239,83,1533,13,606,12,12
2016-11-08,15,17,3750,89,1489,19,510,25,25
2016-11-09,10,15,2883,57,1057,10,501,14,10
2016-11-10,8,13,3331,89,1096,9,501,6,16
2016-11-11,7,12,3622,69,1206,7,505,8,15
