Date,"E.T. the Extra-Terrestrial","Myriostoma","Ernest Joyce","Bazy Tankersley","Susan B. Anthony dollar","Ben Affleck","Presque Isle State Park","Freak Out!","Beograd-class destroyer"
2016-04-08,6022,39,15,21,430,22530,108,405,5
2016-04-09,7791,17,16,23,468,21353,126,359,2
2016-04-10,7530,17,19,26,381,27049,150,405,5
2016-04-11,5217,12,13,26,475,27016,120,392,7
2016-04-12,4274,9,16,23,486,19571,133,415,2
2016-04-13,4638,16,18,16,480,26648,129,388,7
2016-04-14,3463,19,15,28,424,17278,119,365,6
2016-04-15,3601,11,24,23,426,15227,130,346,5
2016-04-16,6161,12,20,17,423,15964,164,366,19
2016-04-17,5524,14,22,15,849,17831,177,354,6
2016-04-18,3970,14,6,20,535,14222,195,390,6
2016-04-19,4192,14,15,32,500,12612,160,366,2
2016-04-20,3314,9,15,23,2241,11789,135,382,5
2016-04-21,4453,11,20,19,2981,11467,131,426,7
2016-04-22,3089,17,14,25,1282,12251,164,386,2
2016-04-23,4419,14,15,15,894,15402,153,425,5
2016-04-24,6459,23,21,14,764,15561,162,373,5
2016-04-25,3502,7,6,9,847,11636,222,399,2
2016-04-26,2961,13,16,27,693,10084,196,379,4
2016-04-27,2807,60,9,21,595,9998,165,418,8
2016-04-28,3159,15,17,18,545,10462,151,384,3
2016-04-29,3005,11,9,21,458,10478,149,399,9
2016-04-30,4357,15,16,16,676,11603,151,424,2
2016-05-01,4717,12,12,24,423,14308,136,381,3
2016-05-02,3163,11,15,16,503,12778,152,394,5
2016-05-03,2480,17,16,36,518,10885,151,384,5
2016-05-04,3181,23,18,34,469,9717,162,370,4
2016-05-05,2798,19,8,27,458,9722,159,403,2
2016-05-06,2782,16,15,20,429,10989,162,350,9
2016-05-07,4157,13,13,14,368,13271,172,363,6
2016-05-08,4209,11,11,22,368,12759,179,489,5
2016-05-09,3049,14,14,32,476,11443,179,465,5
2016-05-10,2870,31,14,22,463,10973,152,390,2
2016-05-11,2544,25,17,21,418,9617,161,349,5
2016-05-12,2783,11,12,15,445,10262,175,362,5
2016-05-13,3080,20,13,17,433,12995,164,358,6
2016-05-14,4131,15,10,15,335,12580,156,349,2
2016-05-15,3600,16,18,16,376,13457,167,361,6
2016-05-16,3080,10,7,23,451,10962,221,657,2
2016-05-17,3372,17,12,12,439,9834,165,563,4
2016-05-18,2455,15,12,20,420,9297,174,426,7
2016-05-19,2704,22,18,26,450,9081,192,431,5
2016-05-20,2915,15,20,15,415,9501,168,447,7
2016-05-21,3894,22,41,28,397,10604,191,385,4
2016-05-22,3437,12,16,19,359,13691,219,371,5
2016-05-23,3070,15,28,21,381,9716,246,410,3
2016-05-24,2593,69,16,20,413,10949,216,387,7
2016-05-25,2354,39,22,20,398,8742,227,397,10
2016-05-26,2327,29,17,25,420,9565,256,352,3
2016-05-27,2522,11,15,7,337,9830,251,336,2
2016-05-28,2530,15,25,20,332,9755,346,354,5
2016-05-29,3966,22,21,17,367,13024,386,366,3
2016-05-30,3512,17,25,24,345,11350,361,384,6
2016-05-31,3412,16,17,23,464,10035,259,411,4
2016-06-01,2601,24,14,23,419,9218,234,448,4
2016-06-02,2290,19,28,21,382,9103,264,406,5
2016-06-03,2234,44,15,25,347,10050,270,481,5
2016-06-04,2740,12,15,28,357,13131,243,381,4
2016-06-05,3537,14,12,22,353,13077,241,406,7
2016-06-06,2482,13,14,23,406,11203,282,377,1
2016-06-07,2266,17,16,19,426,8983,241,386,0
2016-06-08,2402,12,8,8,466,8806,206,374,5
2016-06-09,2837,16,14,10,482,8889,206,325,2
2016-06-10,3729,12,9,16,452,11075,232,355,12
2016-06-11,2984,15,11,25,368,10784,278,307,16
2016-06-12,3397,16,18,18,377,10557,286,312,9
2016-06-13,2833,19,26,22,409,8858,227,340,7
2016-06-14,2427,18,20,20,367,8632,250,341,5
2016-06-15,2373,18,17,27,343,8966,231,360,11
2016-06-16,2641,14,23,29,355,8516,253,326,4
2016-06-17,2517,14,13,19,352,9412,327,335,8
2016-06-18,3441,21,21,31,377,9429,341,418,7
2016-06-19,2817,16,21,17,303,12819,352,347,9
2016-06-20,3083,8,20,19,317,8528,288,355,13
2016-06-21,2515,18,17,33,328,9293,279,441,3
2016-06-22,2554,12,10,23,391,9082,282,469,9
2016-06-23,2511,10,10,19,365,16978,312,447,4
2016-06-24,2283,14,11,26,391,13831,310,498,3
2016-06-25,3108,11,16,18,389,11501,374,484,8
2016-06-26,4827,11,9,27,392,13052,347,531,5
2016-06-27,3034,18,22,23,397,9702,384,5043,6
2016-06-28,2771,7,8,21,401,10356,328,2428,5
2016-06-29,2657,8,9,22,415,13097,401,522,8
2016-06-30,3153,9,11,22,354,11777,347,446,12
2016-07-01,2852,9,14,20,349,12455,404,456,12
2016-07-02,2726,17,7,17,416,12658,526,396,7
2016-07-03,2967,17,20,15,430,14705,476,455,3
2016-07-04,3220,15,27,33,507,14309,408,420,3
2016-07-05,2846,18,11,15,428,12865,367,407,2
2016-07-06,2493,26,14,24,411,12216,361,396,9
2016-07-07,2450,17,11,23,360,11298,329,398,4
2016-07-08,2588,13,10,18,374,13886,331,456,2
2016-07-09,2943,15,12,20,330,13093,309,447,8
2016-07-10,2946,20,11,18,362,13850,342,421,6
2016-07-11,2667,16,23,31,290,13045,368,418,2
2016-07-12,2487,19,19,26,342,12387,323,378,3
2016-07-13,2399,14,8,12,364,12072,293,415,5
2016-07-14,2562,15,8,18,359,11545,290,345,6
2016-07-15,2437,9,9,14,335,10493,363,414,12
2016-07-16,2794,4,8,18,296,12688,450,354,4
2016-07-17,3192,17,14,15,313,14729,491,366,8
2016-07-18,2978,6,18,12,374,12118,408,380,1
2016-07-19,2804,13,11,26,336,12704,352,385,15
2016-07-20,2772,7,14,15,410,15796,354,391,5
2016-07-21,2709,11,9,13,384,13785,374,393,5
2016-07-22,2700,18,13,31,386,13598,375,442,2
2016-07-23,3524,11,6,18,335,17827,412,387,11
2016-07-24,3365,6,19,16,319,27101,425,441,8
2016-07-25,3234,47,12,35,292,21747,363,355,9
2016-07-26,2716,41,15,28,366,17640,349,367,12
2016-07-27,2619,12,8,20,339,15949,393,323,6
2016-07-28,3030,17,21,15,391,20849,369,356,5
2016-07-29,2736,16,21,27,416,19116,371,313,5
2016-07-30,3224,13,15,10,380,19112,310,384,8
2016-07-31,3421,19,15,25,370,20345,358,352,6
2016-08-01,3236,7,17,22,405,18230,428,379,5
2016-08-02,2757,17,11,28,451,16406,324,415,11
2016-08-03,2440,10,19,29,401,16975,287,346,4
2016-08-04,2493,8,11,20,357,16911,355,355,9
2016-08-05,2488,12,17,25,353,17667,336,425,1
2016-08-06,2461,17,16,19,314,18400,392,352,3
2016-08-07,2829,18,9,16,316,19534,377,325,5
2016-08-08,2484,14,9,17,349,17779,366,306,6
2016-08-09,2285,24,12,28,350,13941,319,353,3
2016-08-10,2536,8,12,16,319,13869,279,376,7
2016-08-11,2362,12,10,19,332,13471,286,378,9
2016-08-12,2440,9,8,16,320,12173,299,336,4
2016-08-13,2675,10,7,16,322,15081,265,314,2
2016-08-14,2901,18,16,24,354,15324,272,358,8
2016-08-15,2623,14,10,18,333,16472,268,361,3
2016-08-16,2476,9,7,23,320,12685,233,367,2
2016-08-17,2394,14,9,15,345,12439,234,459,4
2016-08-18,2622,19,20,24,371,11228,239,326,5
2016-08-19,2317,13,21,22,335,11252,266,368,9
2016-08-20,2566,18,15,35,395,13666,307,325,9
2016-08-21,2888,21,20,39,393,15639,302,343,5
2016-08-22,2791,18,12,27,324,12477,283,330,12
2016-08-23,2475,21,14,24,437,12076,271,386,7
2016-08-24,2474,14,12,19,351,11122,536,357,8
2016-08-25,2448,15,17,30,399,11914,332,323,2
2016-08-26,2600,19,21,24,394,12159,336,324,8
2016-08-27,2719,14,14,20,347,12503,352,314,7
2016-08-28,3271,9,23,18,397,13276,323,302,10
2016-08-29,2596,22,12,21,416,14028,289,399,9
2016-08-30,2393,13,19,26,369,12414,270,329,4
2016-08-31,2535,14,8,18,318,10310,197,346,7
2016-09-01,2360,23,14,18,373,9937,192,341,4
2016-09-02,2458,21,20,19,319,9569,273,344,7
2016-09-03,2909,10,11,17,281,11872,345,388,9
2016-09-04,4008,9,10,32,318,11751,423,366,8
2016-09-05,3416,17,14,22,397,12601,314,317,6
2016-09-06,2600,11,12,16,340,9535,233,359,10
2016-09-07,2341,8,13,20,332,8568,216,322,7
2016-09-08,2189,12,8,20,343,10221,165,372,2
2016-09-09,2463,17,21,20,296,17903,162,347,5
2016-09-10,3565,12,11,16,294,13754,196,354,10
2016-09-11,5063,11,12,8,309,15605,279,303,6
2016-09-12,2727,16,19,27,335,12698,190,373,4
2016-09-13,2487,23,13,22,365,11075,226,317,6
2016-09-14,2379,24,12,20,379,9898,148,351,5
2016-09-15,2490,9,21,20,375,10711,131,332,1
2016-09-16,2447,12,21,17,329,11063,131,316,8
2016-09-17,2666,15,15,26,330,12480,144,346,1
2016-09-18,2869,23,23,21,358,14521,149,294,8
2016-09-19,2360,26,19,18,335,14233,138,314,4
2016-09-20,2297,20,9,15,359,12473,143,347,18
2016-09-21,2236,24,14,22,353,12311,146,341,9
2016-09-22,2374,165,223,19,600,11109,315,477,20
2016-09-23,2123,14,12,243,347,11425,120,368,12
2016-09-24,2601,21,10,17,331,11859,140,295,7
2016-09-25,3040,15,9,18,349,12994,164,306,6
2016-09-26,2500,20,9,27,356,10758,140,339,6
2016-09-27,2183,12,17,17,346,10103,108,308,7
2016-09-28,2214,14,10,26,382,9728,220,343,21
2016-09-29,2418,22,18,21,423,10363,136,328,6
2016-09-30,2241,13,11,18,352,12302,86,360,5
2016-10-01,2443,17,7,18,318,11902,97,366,11
2016-10-02,2762,15,12,16,546,13663,109,361,2
2016-10-03,2666,21,14,30,357,13012,118,327,12
2016-10-04,2210,28,9,12,383,14373,126,359,6
2016-10-05,2147,9,11,8,370,11715,116,325,10
2016-10-06,2154,17,12,15,347,16322,126,347,8
2016-10-07,2233,21,15,29,354,18198,115,337,6
2016-10-08,2923,19,18,21,335,15500,132,302,10
2016-10-09,2589,25,11,20,341,14931,111,387,4
2016-10-10,2684,29,20,26,389,12793,123,334,4
2016-10-11,2951,20,14,31,411,12589,79,354,5
2016-10-12,2348,14,12,30,579,14483,102,311,7
2016-10-13,2513,9,13,22,414,13191,90,332,11
2016-10-14,2379,11,23,25,379,15826,114,351,5
2016-10-15,2821,18,11,16,376,19450,99,344,4
2016-10-16,3174,12,15,23,381,21726,113,367,6
2016-10-17,2507,22,16,33,433,18618,96,357,6
2016-10-18,2321,18,15,27,411,14652,84,350,10
2016-10-19,2670,19,9,24,396,13887,96,343,11
2016-10-20,2163,14,13,19,386,12445,95,315,12
2016-10-21,2423,26,17,17,365,15528,91,342,11
2016-10-22,3072,19,15,12,328,18766,95,322,9
2016-10-23,3110,23,17,18,385,16814,81,313,2
2016-10-24,2674,18,20,22,418,13464,80,349,0
2016-10-25,2483,19,22,20,467,12044,87,408,8
2016-10-26,2418,22,16,20,478,11703,74,425,9
2016-10-27,2510,13,13,21,421,13613,69,349,8
2016-10-28,2822,17,25,27,403,12331,92,410,8
2016-10-29,3501,10,9,13,321,12943,95,325,3
2016-10-30,4178,10,19,18,363,15466,70,350,10
2016-10-31,3369,14,15,21,368,11777,82,353,10
2016-11-01,3102,21,19,26,398,10977,61,366,4
2016-11-02,2791,20,12,15,394,10839,72,330,14
2016-11-03,2418,12,15,88,384,12559,79,350,11
2016-11-04,2035,25,15,21,407,31971,95,368,3
2016-11-05,2386,7,11,21,437,25975,80,368,12
2016-11-06,3442,14,14,22,488,21466,96,382,6
2016-11-07,2416,23,18,24,551,14506,72,379,28
2016-11-08,2181,22,22,29,2433,13235,90,393,100
2016-11-09,1728,13,14,20,1196,9579,172,318,17
2016-11-10,2134,12,14,15,635,9841,66,396,43
2016-11-11,1941,14,10,28,467,14880,68,367,17
