Date,"Weird Tales","Grace Sherwood","Dredd","Battle of Prokhorovka","Blade Runner","Noye's Fludde","God of War III","Project Y","Dire wolf"
2016-05-03,193,52,2338,225,5206,56,827,0,4776
2016-05-04,191,60,1692,235,4892,49,1036,0,3698
2016-05-05,180,46,1539,264,4880,49,996,0,3481
2016-05-06,162,48,1475,262,4555,62,915,0,3514
2016-05-07,143,63,1636,234,5158,57,1034,0,8085
2016-05-08,164,52,1817,256,5491,77,1010,0,3422
2016-05-09,199,52,2081,310,5005,40,1059,0,9070
2016-05-10,185,63,1477,300,4997,40,894,0,5856
2016-05-11,195,70,1292,268,5212,55,875,0,4562
2016-05-12,162,44,1427,244,4936,50,920,0,3730
2016-05-13,187,59,1754,293,5130,50,887,0,3371
2016-05-14,171,53,1687,231,5346,50,942,0,3481
2016-05-15,181,61,1877,209,6165,73,993,0,3540
2016-05-16,212,48,1816,256,5412,55,930,0,4113
2016-05-17,209,44,1614,260,4770,59,899,0,4169
2016-05-18,213,49,1476,266,4608,59,871,0,3374
2016-05-19,172,55,1731,235,4530,59,954,0,3469
2016-05-20,179,66,1797,237,4337,63,891,0,3220
2016-05-21,181,70,1972,231,4319,71,912,0,3210
2016-05-22,198,77,2173,226,4840,57,1012,0,3706
2016-05-23,170,73,2341,227,4665,76,996,0,8672
2016-05-24,206,58,1761,242,4208,55,861,0,7081
2016-05-25,182,94,1732,263,4133,80,881,0,5418
2016-05-26,168,70,1883,289,4144,86,883,0,4707
2016-05-27,164,49,1447,264,3825,56,864,0,3838
2016-05-28,149,72,1631,242,3762,52,903,0,4011
2016-05-29,171,66,1702,221,3999,44,931,0,5678
2016-05-30,186,63,1994,263,4195,60,937,0,6532
2016-05-31,172,60,1471,267,3851,53,891,0,3928
2016-06-01,180,81,1468,251,3944,79,884,0,3112
2016-06-02,154,50,1397,260,4375,69,892,0,2998
2016-06-03,188,65,1367,255,4042,47,943,0,2771
2016-06-04,172,61,1616,237,3957,42,951,0,2631
2016-06-05,178,408,1681,230,4154,51,947,0,3041
2016-06-06,200,73,1701,280,4059,48,986,0,3279
2016-06-07,172,76,1487,276,4156,49,923,0,2917
2016-06-08,166,59,1334,254,4333,56,934,0,2610
2016-06-09,189,60,2496,293,3865,37,1065,0,3331
2016-06-10,179,55,1432,213,3968,71,936,0,2489
2016-06-11,148,61,1510,233,3743,52,995,0,2313
2016-06-12,196,49,1545,234,4283,45,1189,0,2445
2016-06-13,153,60,1685,224,3956,49,1148,0,2492
2016-06-14,159,61,1255,238,3714,45,16081,0,2352
2016-06-15,171,45,1155,233,4022,55,10571,0,2759
2016-06-16,184,36,1112,271,3895,50,7361,0,2606
2016-06-17,175,36,1144,260,3908,51,6504,0,2197
2016-06-18,151,53,1389,182,3698,58,5915,0,2451
2016-06-19,157,68,1806,211,4142,69,5440,0,2632
2016-06-20,181,44,1814,252,3890,65,3605,0,6798
2016-06-21,197,57,2198,218,4179,62,3261,0,5055
2016-06-22,161,57,2290,318,3982,71,3126,0,4423
2016-06-23,186,44,1757,271,4017,45,2562,0,3902
2016-06-24,162,446,1463,180,3760,46,2309,0,3510
2016-06-25,143,69,1336,192,4567,48,2241,0,3238
2016-06-26,184,54,1577,241,5191,65,2250,0,4790
2016-06-27,228,68,1736,198,4641,57,1879,0,8661
2016-06-28,184,55,1800,206,4559,49,1886,0,6039
2016-06-29,191,66,3094,208,5047,35,1785,0,4412
2016-06-30,180,52,1922,258,4260,51,1492,0,3906
2016-07-01,207,57,1657,287,4139,39,1453,0,3897
2016-07-02,160,43,1680,256,3766,56,1391,0,4433
2016-07-03,155,50,1825,236,4514,63,1409,0,20744
2016-07-04,170,78,1913,390,4096,57,1447,0,4433
2016-07-05,167,50,1793,525,3951,53,1586,0,3941
2016-07-06,173,57,1545,374,4231,48,1777,0,4014
2016-07-07,161,63,2143,317,3654,163,1574,0,3277
2016-07-08,176,47,1923,362,3559,61,1404,0,2939
2016-07-09,232,50,1608,365,3820,101,1463,0,3137
2016-07-10,311,150,1646,374,4042,67,1572,0,2936
2016-07-11,275,90,1602,927,4044,54,1481,0,2837
2016-07-12,213,76,1553,4428,3707,102,1435,0,2526
2016-07-13,214,88,1571,975,4007,45,1332,0,2876
2016-07-14,182,63,1360,326,3858,40,1169,0,3405
2016-07-15,153,39,1605,274,4063,46,1142,0,2568
2016-07-16,227,59,3352,239,4469,38,1207,0,2336
2016-07-17,168,55,13106,234,4754,53,1306,0,3195
2016-07-18,195,81,5009,234,4970,72,1218,0,2673
2016-07-19,164,64,2457,227,4577,52,1083,0,2554
2016-07-20,161,64,2176,194,3832,40,990,0,2324
2016-07-21,145,34,1957,197,3730,77,952,0,2185
2016-07-22,170,53,2379,224,3812,54,907,0,2134
2016-07-23,179,86,2346,178,3646,47,970,0,2354
2016-07-24,246,92,2744,247,4050,55,1032,0,2711
2016-07-25,189,46,2269,440,4010,50,1016,0,2547
2016-07-26,300,74,1865,301,3921,66,869,0,2323
2016-07-27,232,60,2137,222,4212,57,966,0,2369
2016-07-28,192,43,1561,244,3681,50,946,0,2670
2016-07-29,216,58,1605,296,3711,50,843,0,2071
2016-07-30,173,70,2237,190,3588,65,1012,0,2218
2016-07-31,250,82,1859,224,4018,61,983,0,2214
2016-08-01,214,49,1726,250,4051,47,910,0,2557
2016-08-02,294,61,1570,292,3872,55,864,0,2245
2016-08-03,168,69,1793,255,3721,44,882,0,2105
2016-08-04,196,61,1683,199,3476,43,818,0,2117
2016-08-05,172,47,1421,239,3772,53,925,0,1787
2016-08-06,222,54,1444,269,3493,59,958,0,1794
2016-08-07,190,72,1966,226,3697,37,922,0,1799
2016-08-08,188,55,1411,219,3607,49,904,0,1820
2016-08-09,173,46,1376,236,3742,73,862,0,1819
2016-08-10,139,62,1357,217,3694,58,987,0,2125
2016-08-11,181,57,1591,224,3512,69,893,0,1742
2016-08-12,172,66,1284,209,3628,45,808,0,1557
2016-08-13,212,54,1305,183,3543,55,902,0,1613
2016-08-14,216,222,1323,199,3784,54,983,0,1618
2016-08-15,261,200,1490,285,3959,50,1010,0,1629
2016-08-16,176,41,1257,262,3950,62,949,0,1603
2016-08-17,186,47,1374,252,4040,46,944,0,1734
2016-08-18,159,45,1712,223,6758,41,918,0,1868
2016-08-19,172,46,1413,212,10454,40,929,0,1520
2016-08-20,160,43,1373,197,6287,59,870,0,1492
2016-08-21,181,115,1366,227,5668,75,912,0,1672
2016-08-22,192,101,1463,245,5065,55,893,0,1684
2016-08-23,224,79,1570,339,4588,57,921,0,2202
2016-08-24,222,53,2665,239,4786,52,932,0,1792
2016-08-25,189,50,1496,241,4820,53,915,0,1840
2016-08-26,182,64,1618,254,7649,55,891,0,2358
2016-08-27,206,498,1528,213,6231,46,931,16,2120
2016-08-28,292,124,1463,234,5881,64,975,75,1729
2016-08-29,206,75,1629,266,5668,61,915,107,1972
2016-08-30,200,67,1361,305,6881,50,869,63,1670
2016-08-31,197,58,1539,267,4702,53,860,67,1446
2016-09-01,162,67,1536,250,4634,105,817,70,1597
2016-09-02,198,66,1385,233,4367,81,825,63,1570
2016-09-03,150,47,1395,170,4174,55,928,57,1453
2016-09-04,150,46,1595,206,5250,84,946,122,1584
2016-09-05,194,60,1381,234,5612,84,933,114,1724
2016-09-06,225,97,1487,282,4892,84,865,54,1826
2016-09-07,167,42,1152,229,4382,66,876,47,5468
2016-09-08,159,58,1149,297,4592,57,840,44,2670
2016-09-09,247,57,2136,191,3914,66,822,59,1687
2016-09-10,142,47,1448,200,5990,93,939,40,1630
2016-09-11,196,45,1355,203,4268,62,1022,53,1818
2016-09-12,177,59,1283,246,4416,85,917,68,2766
2016-09-13,222,64,1107,204,5001,66,950,49,5263
2016-09-14,209,76,1064,236,3897,72,879,62,6448
2016-09-15,224,70,1004,324,4007,58,848,44,6172
2016-09-16,202,69,1074,246,3784,47,809,35,4242
2016-09-17,133,56,1233,205,3843,63,997,35,3087
2016-09-18,171,71,1673,215,4156,60,1035,88,2668
2016-09-19,197,64,2024,221,4071,56,912,60,2542
2016-09-20,204,62,1143,209,3926,64,868,24277,2107
2016-09-21,172,87,1098,255,3933,64,888,427,1962
2016-09-22,187,356,1466,203,4364,372,832,837,1898
2016-09-23,188,80,1359,235,3857,54,1127,126,1746
2016-09-24,144,73,1369,180,3674,54,942,70,1764
2016-09-25,186,68,1343,215,4104,65,934,99,1885
2016-09-26,182,58,1250,255,4060,53,883,96,2003
2016-09-27,166,48,995,254,3538,54,776,65,2233
2016-09-28,191,86,1156,268,3597,51,827,88,1673
2016-09-29,199,66,1098,267,3591,67,819,78,1644
2016-09-30,180,55,2052,230,3767,49,786,72,1452
2016-10-01,145,44,1461,180,3619,55,803,67,1469
2016-10-02,147,70,2036,231,3891,85,889,62,1706
2016-10-03,209,62,1879,201,4113,49,862,42,1892
2016-10-04,150,82,1543,227,3811,57,873,88,1774
2016-10-05,185,87,3075,240,3806,48,805,60,1621
2016-10-06,164,74,2327,234,9573,29,764,50,1571
2016-10-07,150,112,1309,217,9523,36,832,42,1611
2016-10-08,136,93,1261,206,5201,41,854,42,1570
2016-10-09,151,58,1383,211,5067,53,926,52,1628
2016-10-10,149,75,1111,194,4812,46,802,56,1458
2016-10-11,195,72,1097,216,4460,40,861,49,1669
2016-10-12,192,68,982,252,4407,38,823,53,1821
2016-10-13,192,112,931,198,4283,48,736,58,1665
2016-10-14,198,83,3115,212,4156,38,804,51,1966
2016-10-15,171,68,1823,227,4252,37,806,55,1668
2016-10-16,272,58,1397,213,4513,54,974,64,1852
2016-10-17,297,85,1230,234,4450,170,854,82,1851
2016-10-18,301,87,1166,232,4565,74,841,84,1716
2016-10-19,321,75,1060,267,4256,37,775,94,1546
2016-10-20,275,67,910,235,4107,40,768,49,1511
2016-10-21,242,76,1003,286,3926,39,826,63,1397
