Date,"Noel Park","Margaret Lea Houston","Everglades National Park","Fez (video game)","Crucifix (Cimabue, Santa Croce)","Me and Juliet","King Kalākaua's world tour","Villa Park","Sino-Roman relations"
2016-09-19,22,40,442,653,36,75,0,223,556
2016-09-20,22,34,446,633,65,53,0,211,508
2016-09-21,17,30,449,642,59,48,0,201,838
2016-09-22,218,298,730,541,52,237,0,179,580
2016-09-23,16,31,408,918,41,34,0,371,537
2016-09-24,19,35,230,674,23,35,0,402,2517
2016-09-25,18,43,303,725,42,35,0,268,2029
2016-09-26,16,30,377,782,48,56,0,268,1195
2016-09-27,18,26,416,522,39,49,0,263,1302
2016-09-28,26,37,504,690,62,46,0,240,1657
2016-09-29,27,54,474,604,46,52,0,233,1126
2016-09-30,16,32,369,524,59,27,0,255,806
2016-10-01,16,32,230,513,42,43,0,261,591
2016-10-02,28,33,346,794,279,34,0,291,708
2016-10-03,13,36,425,638,85,49,0,315,571
2016-10-04,20,25,438,581,68,47,0,270,595
2016-10-05,15,30,475,637,47,44,0,244,685
2016-10-06,21,25,507,583,52,32,0,229,728
2016-10-07,21,22,483,555,161,65,0,226,574
2016-10-08,26,30,273,663,63,48,0,196,1111
2016-10-09,21,36,304,740,48,42,0,238,947
2016-10-10,19,27,363,666,46,50,0,205,752
2016-10-11,20,44,461,678,53,56,0,203,727
2016-10-12,20,46,458,693,38,55,0,222,2422
2016-10-13,10,38,433,606,55,55,0,217,1898
2016-10-14,23,27,355,640,103,41,0,192,648
2016-10-15,15,22,308,728,55,32,0,376,460
2016-10-16,20,91,349,790,36,41,0,304,579
2016-10-17,26,37,462,5603,52,50,0,279,597
2016-10-18,25,34,509,887,48,49,0,225,589
2016-10-19,28,37,498,776,41,39,0,228,386
2016-10-20,19,38,437,586,38,49,0,201,409
2016-10-21,11,42,403,584,54,48,0,217,416
2016-10-22,7,36,282,609,53,30,0,339,318
2016-10-23,20,20,329,731,42,29,0,254,326
2016-10-24,17,29,532,664,54,35,0,237,447
2016-10-25,25,38,552,592,50,38,0,238,397
2016-10-26,32,40,570,593,52,38,0,253,369
2016-10-27,29,53,466,614,59,43,0,202,346
2016-10-28,30,36,417,603,74,37,0,206,357
2016-10-29,18,28,265,548,51,24,0,279,319
2016-10-30,17,40,394,698,179,25,0,427,442
2016-10-31,14,368,429,592,61,32,0,202,385
2016-11-01,20,167,386,586,60,27,0,195,405
2016-11-02,14,81,431,640,50,47,0,218,404
2016-11-03,15,46,548,592,75,32,0,199,364
2016-11-04,20,52,414,605,974,32,0,252,395
2016-11-05,21,42,317,647,85,31,0,291,362
2016-11-06,21,39,366,638,77,28,0,271,531
2016-11-07,17,49,497,615,78,27,0,212,357
2016-11-08,29,51,476,605,55,53,0,191,374
2016-11-09,19,41,456,421,42,39,0,153,259
2016-11-10,16,39,446,515,34,41,0,163,268
2016-11-11,16,51,358,538,48,28,0,175,278
2016-11-12,18,27,383,549,34,24,0,158,300
2016-11-13,15,39,408,622,32,29,0,171,390
2016-11-14,16,57,500,581,32,27,0,170,382
2016-11-15,19,50,525,461,50,43,0,178,435
2016-11-16,15,33,532,519,41,37,0,237,342
2016-11-17,11,41,500,562,47,31,0,168,513
2016-11-18,19,52,428,476,44,51,0,215,307
2016-11-19,21,56,320,473,48,39,0,193,369
2016-11-20,14,37,408,618,86,29,0,233,363
2016-11-21,14,36,465,536,151,50,0,209,296
2016-11-22,14,37,450,524,121,45,0,195,395
2016-11-23,25,34,378,499,104,27,0,205,290
2016-11-24,23,29,302,484,128,33,0,178,327
2016-11-25,14,32,388,574,142,49,0,179,361
2016-11-26,17,41,365,543,146,49,0,340,342
2016-11-27,14,43,442,562,126,46,0,231,419
2016-11-28,12,33,543,565,133,46,0,241,355
2016-11-29,14,37,591,569,150,52,0,242,368
2016-11-30,9,45,561,570,134,36,0,223,301
2016-12-01,19,45,478,552,133,32,0,192,474
2016-12-02,17,48,590,529,136,29,0,186,310
2016-12-03,15,41,348,581,148,45,0,230,351
2016-12-04,24,35,423,624,135,39,0,251,325
2016-12-05,24,35,600,662,152,31,0,219,413
2016-12-06,21,36,905,495,141,40,0,199,421
2016-12-07,19,30,570,475,137,40,0,186,695
2016-12-08,28,65,818,484,155,47,0,197,406
2016-12-09,22,37,511,498,146,41,0,205,402
2016-12-10,26,42,317,455,105,42,0,264,470
2016-12-11,15,25,431,543,109,31,0,261,438
2016-12-12,29,38,503,529,117,43,0,226,434
2016-12-13,23,124,467,445,103,31,0,263,395
2016-12-14,21,68,459,462,122,28,0,207,356
2016-12-15,18,113,417,467,112,39,0,177,432
2016-12-16,23,48,380,426,100,33,64,177,380
2016-12-17,24,78,260,390,72,31,28,232,272
2016-12-18,18,37,416,483,39,23,127,307,353
2016-12-19,13,41,465,481,38,57,175,244,441
2016-12-20,17,47,430,464,31,33,93,216,300
