Date,"The Demi-Virgin","The Oceanides","Jupiter trojan","Sandra Morgan","Virgin and Child Enthroned","Carnaby's black cockatoo","1880 Greenback National Convention","1997 Qayen earthquake","Alexander of Greece"
2016-08-03,2,36,107,30,0,33,26,23,219
2016-08-04,2,23,104,27,0,36,9,10,179
2016-08-05,1,17,103,30,0,26,12,16,201
2016-08-06,1,19,108,28,0,34,12,14,229
2016-08-07,3,8,98,55,0,26,16,18,247
2016-08-08,2,19,95,49,0,27,15,8,239
2016-08-09,3,17,121,54,0,22,11,17,231
2016-08-10,24,20,89,65,0,32,8,8,241
2016-08-11,6,14,129,91,0,33,4,11,160
2016-08-12,1,15,130,42,0,52,15,10,196
2016-08-13,1,14,113,31,0,25,6,7,227
2016-08-14,2,18,110,40,0,25,10,18,241
2016-08-15,1,14,103,32,0,26,7,15,242
2016-08-16,2,18,117,29,0,29,5,10,205
2016-08-17,3,18,118,23,0,40,11,19,212
2016-08-18,1,25,105,33,0,23,16,19,225
2016-08-19,4,14,94,30,0,11,9,16,207
2016-08-20,2,23,80,21,0,33,12,9,191
2016-08-21,3,27,111,34,0,26,22,21,236
2016-08-22,6,15,115,55,0,34,12,19,275
2016-08-23,2,19,115,28,0,25,14,26,234
2016-08-24,6,27,314,19,0,21,9,33,185
2016-08-25,2,17,164,25,0,26,8,33,186
2016-08-26,6,22,125,16,0,23,10,25,195
2016-08-27,6,27,134,17,0,38,13,21,199
2016-08-28,2,15,141,9,0,41,9,24,219
2016-08-29,2,17,173,11,0,22,11,31,223
2016-08-30,1,17,157,18,0,27,15,23,245
2016-08-31,2,12,153,14,0,41,8,18,167
2016-09-01,4,18,148,29,0,32,15,22,196
2016-09-02,7,26,150,12,0,34,11,20,198
2016-09-03,5,19,137,13,0,24,8,15,203
2016-09-04,7,12,124,8,0,25,5,9,222
2016-09-05,2,24,141,18,0,35,13,16,178
2016-09-06,3,14,129,15,0,40,11,30,168
2016-09-07,1,9,179,5,0,34,9,12,204
2016-09-08,0,12,524,35,0,26,5,13,236
2016-09-09,4,19,209,15,0,32,11,14,218
2016-09-10,3,14,160,8,0,25,8,17,216
2016-09-11,3,16,421,8,0,29,7,12,278
2016-09-12,3,23,155,18,0,39,8,20,287
2016-09-13,2,28,159,20,0,31,15,24,197
2016-09-14,3,18,152,14,0,28,17,19,195
2016-09-15,1,11,141,35,0,31,10,22,155
2016-09-16,3,18,156,8,0,43,10,15,157
2016-09-17,5,12,130,14,0,40,5,16,182
2016-09-18,3,22,126,15,0,146,15,27,198
2016-09-19,3,26,150,8,0,37,9,25,234
2016-09-20,5,16,154,12,0,34,14,16,198
2016-09-21,3,16,170,9,0,40,23,13,198
2016-09-22,0,245,282,29,0,47,306,108,412
2016-09-23,1,17,125,101,0,24,9,12,187
2016-09-24,3,14,290,9,0,19,8,14,159
2016-09-25,2,16,111,9,0,29,7,4,240
2016-09-26,5,24,162,10,0,24,18,17,181
2016-09-27,2,13,136,21,0,14,7,8,214
2016-09-28,6,16,232,25,0,25,13,16,206
2016-09-29,3,15,156,19,0,23,14,20,179
2016-09-30,5,16,376,12,0,22,12,14,182
2016-10-01,0,10,170,11,0,19,7,16,172
2016-10-02,2,16,152,16,0,48,10,22,220
2016-10-03,4,17,153,21,0,33,10,20,204
2016-10-04,3,27,168,19,0,25,12,17,232
2016-10-05,2,15,135,8,0,28,5,7,167
2016-10-06,3,19,116,10,0,26,9,16,302
2016-10-07,2,17,131,14,0,35,10,22,196
2016-10-08,3,15,108,11,0,28,10,19,184
2016-10-09,1,15,118,13,0,35,10,16,322
2016-10-10,5,18,194,8,0,30,9,26,191
2016-10-11,5,18,157,9,0,29,14,10,213
2016-10-12,11,9,223,9,0,26,12,18,230
2016-10-13,3,16,202,11,0,23,8,15,220
2016-10-14,2,16,127,11,0,28,14,13,176
2016-10-15,5,21,126,10,0,45,7,17,187
2016-10-16,4,18,127,7,0,32,6,19,215
2016-10-17,7,24,194,17,0,28,19,28,229
2016-10-18,2,24,196,15,0,50,18,25,213
2016-10-19,4,13,195,13,0,24,12,18,179
2016-10-20,3,18,195,33,0,35,19,16,164
2016-10-21,1,23,178,14,0,36,13,16,185
2016-10-22,4,14,149,11,0,30,13,12,187
2016-10-23,3,16,248,12,0,28,15,21,183
2016-10-24,2,19,221,13,0,33,17,12,285
2016-10-25,4,24,210,14,0,37,16,18,335
2016-10-26,3,23,147,12,0,33,9,17,247
2016-10-27,5,22,116,9,0,27,10,10,228
2016-10-28,4,47,136,24,0,32,17,24,191
2016-10-29,3,18,140,10,0,37,7,14,183
2016-10-30,2,12,132,19,0,33,9,16,202
2016-10-31,2,15,138,11,0,39,10,11,203
2016-11-01,2,14,144,14,0,37,11,18,201
2016-11-02,5,14,196,12,0,74,7,16,201
2016-11-03,1,18,144,7,0,55,11,27,198
2016-11-04,11,22,165,8,0,43,8,16,413
2016-11-05,25,6,170,7,0,64,4,22,677
2016-11-06,52,13,149,4,0,40,7,15,788
2016-11-07,49,17,162,8,0,38,8,14,548
2016-11-08,16,21,150,19,0,38,24,22,495
2016-11-09,6,20,110,15,0,31,11,24,272
2016-11-10,16,22,127,8,0,20,12,17,333
2016-11-11,6,15,120,10,0,45,14,15,329
2016-11-12,5,18,139,3,0,50,4,13,360
2016-11-13,6,17,139,9,0,37,8,18,480
2016-11-14,5,19,746,26,0,33,11,28,373
2016-11-15,8,26,270,18,0,54,10,24,322
2016-11-16,10,12,202,9,0,32,11,16,302
2016-11-17,2,14,195,6,0,49,8,12,305
2016-11-18,4,20,166,11,0,35,17,31,318
2016-11-19,1,18,126,12,0,27,16,27,280
2016-11-20,2,13,161,11,0,29,7,11,437
2016-11-21,19,10,183,11,0,45,10,20,391
2016-11-22,8,15,216,15,0,41,7,26,305
2016-11-23,2,18,182,3,0,23,9,6,326
2016-11-24,6,17,140,10,0,41,9,17,237
