Date,"Egyptian temple","Planet Stories","The Blue Flame (play)","INS Vikrant (R11)","Literary Hall","Downtown Seattle Transit Tunnel","Catherine Zeta-Jones","St Botolph's Church, Quarrington","Spotted green pigeon"
2016-08-30,236,24,5,635,11,72,4962,6,19
2016-08-31,230,18,3,601,5,77,5486,1,16
2016-09-01,254,19,3,557,11,61,4426,9,20
2016-09-02,183,32,1,592,11,55,6604,1,23
2016-09-03,137,26,2,581,6,82,6738,4,23
2016-09-04,188,25,4,664,6,70,8064,1,11
2016-09-05,251,22,1,522,14,77,6633,2,30
2016-09-06,253,27,2,650,14,69,6545,0,24
2016-09-07,253,16,2,686,6,74,7388,2,9
2016-09-08,317,21,2,785,11,64,5245,1,13
2016-09-09,242,20,3,751,19,51,5960,3,17
2016-09-10,164,19,3,668,14,59,8247,26,18
2016-09-11,200,13,7,895,4,69,8863,17,5
2016-09-12,307,20,4,720,11,86,5591,4,23
2016-09-13,337,30,3,716,14,60,4704,31,19
2016-09-14,273,23,5,747,18,97,5005,92,470
2016-09-15,294,21,3,824,12,76,5114,62,288
2016-09-16,216,26,5,773,8,79,5541,62,82
2016-09-17,186,20,0,865,10,62,6525,63,49
2016-09-18,248,36,8,1001,10,61,8013,60,42
2016-09-19,305,16,10,764,9,78,5280,71,28
2016-09-20,365,15,1,814,6,89,5778,79,18
2016-09-21,308,27,6,765,8,89,7613,60,18
2016-09-22,855,142,3,733,209,81,6854,186,78
2016-09-23,248,27,6,927,9,72,6909,69,15
2016-09-24,190,18,5,920,11,90,6676,52,20
2016-09-25,212,26,0,1459,6,75,12292,49,11
2016-09-26,341,29,4,1080,11,86,9025,75,14
2016-09-27,304,24,4,821,6,79,5185,67,21
2016-09-28,359,33,4,1009,12,72,4779,97,25
2016-09-29,343,22,6,1141,10,57,5020,97,36
2016-09-30,304,16,2,1086,7,66,4499,59,16
2016-10-01,215,20,6,970,18,78,6253,61,21
2016-10-02,295,22,4,884,6,51,7446,49,17
2016-10-03,394,13,3,718,9,92,7038,74,15
2016-10-04,360,20,3,884,10,67,5074,81,24
2016-10-05,320,21,7,800,4,71,4251,63,12
2016-10-06,308,17,9,734,10,58,4040,66,16
2016-10-07,231,32,8,755,12,47,4803,72,13
2016-10-08,166,22,1,685,12,60,9229,79,20
2016-10-09,272,25,1,640,6,45,10715,58,13
2016-10-10,287,31,2,625,12,54,6122,78,16
2016-10-11,400,31,3,706,11,65,5698,67,22
2016-10-12,337,23,6,722,8,64,4606,75,21
2016-10-13,299,26,3,831,5,63,5031,78,23
2016-10-14,247,28,5,1281,12,64,4947,79,15
2016-10-15,146,26,2,1232,11,71,6783,13,13
2016-10-16,234,20,5,2581,9,73,6448,18,23
2016-10-17,345,25,2,1355,9,79,5253,13,21
2016-10-18,348,22,6,1512,14,63,5645,18,23
2016-10-19,333,23,3,1540,6,63,4585,20,16
2016-10-20,266,21,2,1458,11,62,4439,13,16
2016-10-21,276,23,6,1401,9,61,4593,7,9
2016-10-22,192,17,3,2086,4,52,6800,6,17
2016-10-23,249,24,4,2586,4,63,7049,5,14
2016-10-24,344,30,7,3451,7,56,5488,11,18
2016-10-25,376,26,4,1797,12,55,4945,10,24
2016-10-26,287,31,1,2434,13,63,4183,10,16
2016-10-27,317,17,5,1525,8,77,4097,9,201
2016-10-28,277,32,6,1048,17,87,5330,14,49
2016-10-29,181,24,5,2083,13,54,6220,6,37
2016-10-30,197,35,5,777,9,49,7895,9,55
2016-10-31,333,15,2,975,7,57,5609,9,53
2016-11-01,379,23,6,844,14,43,5875,14,41
2016-11-02,327,18,3,886,7,65,5998,8,36
2016-11-03,346,17,7,752,9,58,4906,8,34
2016-11-04,327,15,10,791,9,70,6317,9,33
2016-11-05,180,13,2,703,4,63,35462,7,15
2016-11-06,247,14,15,662,8,89,13472,12,23
2016-11-07,299,23,9,732,8,75,6965,12,19
2016-11-08,292,33,6,997,16,85,7674,19,48
2016-11-09,321,22,7,928,9,60,4738,12,29
2016-11-10,283,19,6,1280,10,73,5295,9,16
2016-11-11,236,25,8,931,10,87,6103,10,14
2016-11-12,149,26,1,1175,8,64,9074,2,18
2016-11-13,226,28,8,1101,8,54,12020,9,24
2016-11-14,344,29,7,1056,10,66,5396,12,22
2016-11-15,374,33,11,1023,9,59,4767,10,27
2016-11-16,359,20,16,1316,11,54,5152,8,17
2016-11-17,364,35,10,1189,9,63,5201,3,15
2016-11-18,367,28,6,1171,9,96,8625,8,20
2016-11-19,206,32,7,1317,10,59,9532,12,45
2016-11-20,228,19,10,1558,10,73,9259,13,21
2016-11-21,247,22,4,1445,8,65,6195,8,10
2016-11-22,266,19,5,1435,10,79,5488,8,19
2016-11-23,183,20,2,1345,3,56,4988,2,26
2016-11-24,164,22,3,1303,9,45,14531,9,29
2016-11-25,157,16,2,1210,8,56,17774,9,27
