Date,"Xx (album)","Jennifer Lawrence","Richard II of England","Hurricane Andrew","Heathenry (new religious movement)","Bone Wars","Lundomys","My Happiness (Powderfinger song)","2015 Vuelta a España"
2016-10-01,2961,12459,1569,6704,394,250,10,25,31
2016-10-02,3049,13511,1997,4473,502,310,6,34,43
2016-10-03,3219,14845,2188,7393,516,884,20,29,41
2016-10-04,3207,11123,1884,27575,505,664,8,25,40
2016-10-05,2612,11124,1715,51926,474,556,6,22,38
2016-10-06,2809,11411,1873,142066,494,529,12,23,41
2016-10-07,3045,11022,1576,94789,434,572,15,35,36
2016-10-08,2980,12973,1515,20061,360,418,16,38,32
2016-10-09,2668,14007,1917,9023,429,461,7,19,24
2016-10-10,2925,14458,2139,5781,456,484,11,30,38
2016-10-11,3007,10869,2618,4028,408,421,8,18,29
2016-10-12,2835,10507,1760,3156,452,438,8,20,33
2016-10-13,2707,9962,1841,2943,402,315,9,24,38
2016-10-14,2842,11042,2328,2087,458,296,11,24,31
2016-10-15,2754,17020,1664,1488,424,243,8,20,18
2016-10-16,3009,20690,2139,1352,471,328,6,23,36
2016-10-17,2811,14447,1833,1562,496,477,6,26,36
2016-10-18,2792,12281,1707,1629,466,385,12,22,37
2016-10-19,2649,12872,2347,1289,470,357,7,17,29
2016-10-20,2474,12205,1749,1135,406,488,11,36,43
