Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2016-11-25,11,28,1212,151,1031,50,260,7,104
2016-11-26,11,23,1213,225,1101,67,316,15,88
2016-11-27,10,28,1397,201,1124,49,388,10,114
2016-11-28,13,34,1359,174,1128,97,362,6,111
2016-11-29,15,44,1286,182,1077,110,364,14,110
2016-11-30,4,25,1419,129,1071,76,359,7,106
2016-12-01,15,32,1366,143,1015,65,334,11,95
2016-12-02,9,37,1366,155,1042,87,292,10,271
2016-12-03,12,26,1372,174,965,62,287,18,101
2016-12-04,14,36,1579,210,1042,84,403,16,99
2016-12-05,12,34,1545,168,1044,109,344,13,129
2016-12-06,13,38,1495,147,1168,86,377,12,102
2016-12-07,15,35,1370,187,1308,92,336,7,100
2016-12-08,17,35,1300,239,1194,68,331,16,113
2016-12-09,19,29,1822,234,1203,96,285,20,121
2016-12-10,12,31,1604,362,1176,74,245,13,81
2016-12-11,7,21,1723,368,3444,46,306,14,73
2016-12-12,18,47,1674,451,2411,82,281,21,109
2016-12-13,7,28,1503,375,2247,58,314,8,95
2016-12-14,9,44,1428,275,1676,65,282,11,114
2016-12-15,17,32,1458,216,1339,60,296,16,104
2016-12-16,18,35,1258,228,1210,56,281,19,103
2016-12-17,11,27,1314,247,1176,64,225,16,232
2016-12-18,33,44,1399,296,1119,84,252,14,165
2016-12-19,42,37,1319,345,1212,91,239,6,121
2016-12-20,19,24,1190,402,1146,54,233,15,103
2016-12-21,8,23,1184,316,1300,79,233,8,155
2016-12-22,15,27,1278,367,1154,68,228,11,103
2016-12-23,21,28,1240,392,1075,457,210,23,137
2016-12-24,12,16,1004,324,901,65,219,19,141
2016-12-25,10,20,1238,335,1457,349,191,19,111
2016-12-26,13,16,1215,389,1012,61,233,223,634
2016-12-27,140,15,1918,339,1064,49,754,14,120
2016-12-28,19,31,1346,403,1068,66,214,16,137
2016-12-29,24,33,1520,537,1075,163,226,18,157
2016-12-30,19,20,1581,600,996,71,181,13,133
2016-12-31,195,20,1232,482,950,49,185,10,171
2017-01-01,40161,248,1244,539,963,67,191,27,141
2017-01-02,7350,33236,1876,746,1147,81,238,28,131
2017-01-03,4834,6624,64622,1011,1231,93,295,54,145
2017-01-04,3232,4114,9378,29352,1383,93,264,45,135
2017-01-05,584,3466,6198,7278,38520,290,359,43,174
2017-01-06,478,530,4360,4697,8661,54051,512,49,112
2017-01-07,352,411,2252,4166,5599,7863,24247,245,148
2017-01-08,325,306,2062,2057,4845,4604,4418,45287,309
2017-01-09,227,231,1706,1568,1640,3386,3412,11046,33769
2017-01-10,195,189,1608,1185,1525,768,1956,6575,6006
2017-01-11,174,206,1634,905,1375,537,522,4247,3626
2017-01-12,146,152,1645,730,1377,429,485,724,2930
2017-01-13,117,125,1689,804,1204,303,401,473,623
2017-01-14,106,112,1524,889,1174,288,302,362,416
2017-01-15,113,141,1623,661,1154,250,353,354,317
2017-01-16,130,136,1740,562,1240,250,533,257,377
2017-01-17,85,107,1709,438,1304,211,391,224,314
2017-01-18,85,92,1694,397,1585,178,374,176,325
2017-01-19,85,115,1606,391,1303,139,328,129,270
2017-01-20,71,70,1440,370,1202,163,329,125,233
2017-01-21,54,84,1260,402,1031,113,404,119,221
2017-01-22,74,78,1521,360,1147,155,363,134,223
2017-01-23,70,91,1555,388,1160,159,421,114,221
