Date,"Léal Souvenir","Zero Escape: Virtue's Last Reward","Newton's parakeet","Southern Cross (wordless novel)","Brougham Castle","Turboliner","Djedkare Isesi","James Russell Lowell","Ontario Highway 402"
2016-04-14,26,423,19,13,31,54,84,155,51
2016-04-15,15,421,20,13,53,39,37,137,37
2016-04-16,14,527,26,11,25,48,47,154,30
2016-04-17,23,506,28,10,31,30,85,139,39
2016-04-18,11,541,26,6,32,50,74,198,41
2016-04-19,20,507,23,17,37,41,48,192,43
2016-04-20,21,908,15,22,33,30,74,180,30
2016-04-21,17,738,15,8,23,37,48,158,50
2016-04-22,25,541,24,12,46,39,34,158,33
2016-04-23,16,574,17,9,30,40,44,132,32
2016-04-24,18,538,23,13,43,46,53,175,42
2016-04-25,7,542,20,7,25,40,43,188,37
2016-04-26,16,569,14,14,43,51,52,334,36
2016-04-27,16,577,15,15,34,44,4338,171,47
2016-04-28,16,594,16,9,34,33,202,189,39
2016-04-29,8,466,15,9,28,120,131,140,33
2016-04-30,14,448,13,8,30,84,129,120,40
2016-05-01,13,653,21,4,30,85,155,157,36
2016-05-02,15,723,15,10,42,70,186,193,49
2016-05-03,21,493,27,12,44,82,130,174,37
2016-05-04,18,557,26,14,36,59,136,141,43
2016-05-05,21,423,19,13,22,51,134,167,36
2016-05-06,15,372,17,18,24,53,146,144,43
2016-05-07,20,440,15,10,38,34,104,140,35
2016-05-08,20,420,12,13,34,37,104,140,38
2016-05-09,16,492,18,10,31,42,128,167,31
2016-05-10,8,426,21,9,47,37,105,183,38
2016-05-11,22,381,23,14,35,43,96,153,33
2016-05-12,20,445,15,12,23,27,92,152,39
2016-05-13,20,415,16,10,30,47,118,148,24
2016-05-14,11,354,17,11,18,37,121,142,49
2016-05-15,15,459,26,12,35,52,109,165,48
2016-05-16,5,561,10,14,19,46,124,182,46
2016-05-17,21,372,13,9,41,27,81,184,50
2016-05-18,12,411,16,14,33,53,54,192,49
2016-05-19,10,595,25,8,91,36,54,162,56
2016-05-20,8,459,20,10,37,43,47,176,48
2016-05-21,15,447,35,18,40,60,34,158,37
2016-05-22,15,459,12,5,23,31,48,179,26
2016-05-23,16,420,17,15,31,42,44,186,53
2016-05-24,18,484,25,8,23,34,54,239,54
2016-05-25,18,432,23,15,43,41,51,208,57
2016-05-26,28,472,33,16,54,45,47,176,79
2016-05-27,15,417,24,8,25,36,39,155,55
2016-05-28,11,491,19,8,21,31,35,152,33
2016-05-29,13,582,18,8,34,44,51,158,46
2016-05-30,21,555,21,12,44,41,32,209,51
2016-05-31,16,527,16,13,31,43,62,217,35
2016-06-01,15,521,16,10,40,34,61,219,30
2016-06-02,19,799,67,23,47,37,90,194,49
2016-06-03,24,586,47,15,32,34,47,187,47
2016-06-04,15,537,17,10,48,52,38,159,54
2016-06-05,17,545,17,19,35,30,60,156,45
2016-06-06,16,569,25,4,33,46,48,192,52
2016-06-07,20,560,27,10,30,34,58,163,52
2016-06-08,21,645,17,8,39,49,47,216,26
2016-06-09,12,581,13,5,37,39,45,182,35
2016-06-10,11,731,19,10,44,40,36,162,51
2016-06-11,11,509,81,8,30,30,46,145,44
2016-06-12,10,547,17,8,27,30,62,166,40
2016-06-13,14,491,22,11,37,42,41,210,53
2016-06-14,15,589,26,13,35,55,46,209,48
2016-06-15,19,727,16,7,41,36,50,170,49
2016-06-16,19,806,23,16,32,31,58,200,56
2016-06-17,27,700,16,7,37,49,42,176,56
2016-06-18,23,657,24,13,32,33,56,194,53
2016-06-19,15,718,26,12,43,40,44,172,47
2016-06-20,12,750,15,10,40,41,62,193,56
2016-06-21,15,960,20,12,71,38,57,185,48
2016-06-22,9,786,11,4,38,55,52,123,45
2016-06-23,11,1730,15,5,31,53,40,183,68
2016-06-24,16,1762,11,8,25,52,38,126,45
2016-06-25,11,1494,18,10,32,37,33,132,53
2016-06-26,14,1528,12,8,45,32,33,138,37
2016-06-27,21,2138,18,13,31,50,46,140,85
2016-06-28,15,3170,9,3,33,40,27,169,67
2016-06-29,16,3842,21,9,35,24,49,151,64
2016-06-30,13,5775,19,6,33,39,40,151,67
2016-07-01,15,3519,30,8,24,40,39,129,46
2016-07-02,13,4515,13,8,53,28,55,133,41
2016-07-03,14,4095,13,9,38,35,50,142,37
2016-07-04,19,3082,23,11,39,32,41,171,58
2016-07-05,7,2652,14,6,41,40,48,200,49
2016-07-06,16,2137,16,7,29,47,65,166,61
2016-07-07,8,1752,9,8,40,48,36,143,44
2016-07-08,13,1619,13,6,39,43,29,125,42
2016-07-09,23,1491,16,11,53,33,69,134,66
2016-07-10,12,1732,19,7,39,45,37,123,49
2016-07-11,9,1652,20,9,35,43,37,120,46
2016-07-12,19,2796,23,12,37,101,50,137,48
2016-07-13,8,2415,11,8,23,45,54,130,48
2016-07-14,19,2171,17,8,30,34,44,113,47
2016-07-15,16,2775,24,12,44,33,48,106,57
2016-07-16,18,2001,10,3,28,37,29,132,40
2016-07-17,19,1913,15,13,34,40,38,119,54
2016-07-18,12,1523,14,7,31,37,33,132,67
2016-07-19,10,1698,11,12,31,36,41,156,53
2016-07-20,7,1276,8,4,32,27,23,133,54
2016-07-21,13,1253,10,11,40,30,34,122,52
2016-07-22,13,1112,19,14,34,35,36,115,65
2016-07-23,12,1002,22,5,24,43,40,115,40
2016-07-24,10,951,17,12,37,54,44,140,56
2016-07-25,19,999,21,14,26,58,54,111,55
2016-07-26,17,973,16,15,38,45,55,169,58
2016-07-27,13,847,17,13,23,86,49,126,52
2016-07-28,12,902,17,9,30,42,43,144,52
2016-07-29,21,832,19,16,27,40,40,123,86
2016-07-30,7,831,14,12,27,38,50,148,49
2016-07-31,16,960,18,13,36,48,61,154,49
2016-08-01,9,788,19,6,32,39,55,151,53
2016-08-02,10,791,16,11,34,53,47,144,58
2016-08-03,10,700,18,12,35,31,51,131,62
2016-08-04,11,710,18,7,39,35,43,172,52
2016-08-05,21,642,18,12,32,48,55,166,65
2016-08-06,12,665,13,11,32,29,55,125,55
2016-08-07,16,711,18,9,22,48,65,139,55
2016-08-08,8,697,16,11,40,38,51,145,67
2016-08-09,18,597,16,13,35,40,50,146,53
2016-08-10,16,621,16,7,41,44,46,132,56
2016-08-11,13,624,16,14,32,36,37,123,71
2016-08-12,11,608,19,10,26,49,42,199,48
2016-08-13,9,570,15,8,28,41,35,130,66
2016-08-14,16,606,17,11,34,36,29,98,57
2016-08-15,4,682,13,12,34,59,39,214,62
2016-08-16,17,696,15,7,29,29,43,122,59
2016-08-17,13,604,16,7,37,45,36,149,40
2016-08-18,9,516,15,16,35,45,42,112,53
2016-08-19,8,561,9,9,27,31,45,156,50
2016-08-20,14,530,19,14,32,37,49,150,47
2016-08-21,21,659,26,21,45,39,46,129,48
2016-08-22,12,637,21,9,41,51,46,157,64
2016-08-23,22,701,15,11,36,57,54,166,83
2016-08-24,9,569,14,12,30,54,41,150,47
2016-08-25,19,540,17,13,37,37,60,131,65
2016-08-26,27,554,18,11,40,34,47,131,76
2016-08-27,14,490,27,11,37,103,55,111,52
2016-08-28,14,534,19,9,55,88,39,137,51
2016-08-29,37,544,15,17,28,91,50,170,64
2016-08-30,20,616,19,18,39,84,51,149,84
2016-08-31,14,465,11,10,35,74,42,157,49
2016-09-01,13,465,33,7,41,85,38,159,65
2016-09-02,14,427,15,13,36,60,51,134,65
2016-09-03,14,470,20,10,38,38,42,191,50
2016-09-04,6,620,15,7,29,53,35,147,81
2016-09-05,16,510,32,8,34,58,41,147,53
2016-09-06,18,456,27,17,50,43,45,190,52
2016-09-07,15,419,13,4,39,36,38,170,40
2016-09-08,18,493,11,6,39,45,44,180,45
2016-09-09,20,415,25,17,41,68,46,164,46
2016-09-10,9,496,24,15,34,53,33,122,31
2016-09-11,9,607,17,5,20,56,34,155,67
2016-09-12,14,503,24,14,35,57,61,169,58
2016-09-13,17,439,38,11,53,65,52,154,38
2016-09-14,28,407,21,16,33,62,43,188,40
2016-09-15,19,450,19,10,36,60,50,142,43
2016-09-16,19,399,15,14,39,73,26,136,37
2016-09-17,14,424,13,9,37,71,63,135,35
2016-09-18,18,491,24,13,44,40,67,142,63
2016-09-19,13,453,17,12,31,67,44,141,48
2016-09-20,12,429,9,9,31,47,56,184,46
2016-09-21,14,373,16,13,19,59,41,162,43
2016-09-22,127,447,95,97,207,37,160,488,64
2016-09-23,17,453,16,5,27,31,586,145,163
2016-09-24,11,439,18,12,39,35,32,123,38
2016-09-25,19,444,10,5,28,59,51,150,70
2016-09-26,24,424,17,16,34,46,62,158,41
2016-09-27,30,431,24,8,30,43,39,150,41
2016-09-28,33,403,24,17,33,54,57,199,51
2016-09-29,256,395,22,14,34,55,56,172,79
2016-09-30,20,488,17,9,24,39,47,165,46
2016-10-01,14,452,22,10,36,47,37,150,79
2016-10-02,15,475,16,9,22,31,65,171,48
2016-10-03,19,525,15,8,26,59,34,167,39
2016-10-04,26,449,13,10,35,68,51,194,35
2016-10-05,10,403,9,6,31,46,33,265,43
2016-10-06,9,442,18,8,19,51,47,422,32
2016-10-07,15,423,14,13,27,41,46,241,31
2016-10-08,15,412,17,12,23,64,37,143,34
2016-10-09,28,427,19,9,29,34,40,187,49
2016-10-10,20,431,14,12,34,41,61,188,99
2016-10-11,21,347,15,14,31,58,61,223,86
2016-10-12,14,408,18,12,22,52,39,193,58
2016-10-13,15,422,15,18,27,65,36,229,54
2016-10-14,19,412,23,11,36,46,56,188,49
2016-10-15,17,385,33,12,35,48,40,200,43
2016-10-16,12,474,22,8,45,45,46,195,46
2016-10-17,18,449,17,10,25,47,68,281,31
2016-10-18,22,436,12,15,34,35,43,282,35
2016-10-19,27,396,16,14,22,46,55,279,36
2016-10-20,19,426,16,9,32,43,62,257,48
2016-10-21,17,454,18,9,49,55,53,244,51
2016-10-22,13,413,16,5,24,90,32,190,46
2016-10-23,12,469,10,6,41,51,46,236,96
2016-10-24,17,441,20,11,40,33,53,319,41
2016-10-25,22,437,18,12,42,40,50,304,36
2016-10-26,24,385,25,14,41,63,36,283,38
2016-10-27,16,393,26,10,35,48,55,295,36
2016-10-28,20,499,25,18,36,39,39,315,54
2016-10-29,24,589,14,5,16,118,75,233,66
2016-10-30,12,519,18,7,38,158,59,259,34
2016-10-31,9,743,15,7,37,116,43,307,33
2016-11-01,15,1008,17,10,41,134,45,284,55
2016-11-02,12,625,13,14,31,169,39,278,47
2016-11-03,12,425,19,17,28,148,49,299,63
2016-11-04,15,398,22,26,21,122,47,233,63
2016-11-05,10,339,12,9,17,123,28,165,64
2016-11-06,13,373,17,9,31,136,27,202,27
2016-11-07,24,408,13,7,24,186,52,239,52
2016-11-08,26,294,28,22,41,138,62,281,45
2016-11-09,16,345,15,10,20,107,54,273,58
2016-11-10,19,330,14,12,28,125,56,270,45
2016-11-11,10,313,15,7,17,130,48,316,47
2016-11-12,7,337,19,9,30,126,30,239,39
2016-11-13,20,385,20,11,29,133,56,290,38
2016-11-14,25,327,18,14,48,183,51,343,72
2016-11-15,17,343,19,13,53,135,44,345,50
2016-11-16,25,308,17,6,33,115,53,314,44
2016-11-17,26,331,18,5,28,117,55,291,50
2016-11-18,50,341,21,9,33,148,52,281,40
2016-11-19,20,336,26,11,35,126,50,210,55
2016-11-20,18,382,16,9,25,147,37,203,90
2016-11-21,20,341,20,5,28,149,47,261,48
2016-11-22,18,427,13,11,29,135,36,225,39
2016-11-23,13,460,10,7,26,136,51,220,82
2016-11-24,17,560,18,13,17,169,39,149,72
2016-11-25,24,510,12,6,22,154,45,154,42
2016-11-26,15,487,14,10,41,114,49,178,34
2016-11-27,26,447,15,9,38,56,72,187,124
2016-11-28,25,449,15,9,22,55,57,268,50
2016-11-29,20,427,13,13,31,63,48,395,61
2016-11-30,13,335,9,9,39,49,46,287,33
2016-12-01,17,340,13,13,27,46,48,292,48
2016-12-02,19,337,19,10,26,46,42,225,38
2016-12-03,30,350,16,14,23,81,52,190,55
2016-12-04,2457,344,27,14,38,62,57,214,52
2016-12-05,121,358,20,12,45,71,47,308,42
2016-12-06,61,306,16,13,37,48,59,311,41
2016-12-07,50,330,17,15,20,50,43,299,36
2016-12-08,29,333,25,12,29,43,53,281,109
2016-12-09,33,344,30,16,32,57,49,263,44
2016-12-10,15,337,17,10,31,47,48,183,116
2016-12-11,18,349,15,6,29,58,40,211,138
2016-12-12,72,330,28,12,42,59,39,305,51
2016-12-13,48,402,27,10,29,56,56,271,67
2016-12-14,16,398,33,7,24,67,46,287,54
2016-12-15,22,319,16,11,25,33,45,238,56
2016-12-16,23,353,27,14,28,41,41,205,52
2016-12-17,24,325,28,13,31,63,46,158,51
2016-12-18,20,366,20,11,38,73,55,200,64
2016-12-19,11,455,15,12,23,51,30,225,39
