Date,"Cliff Clinkscales","Johnson Creek (Willamette River)","The Good Terrorist","USS Constellation vs L'Insurgente","Olympic marmot","Kedok Ketawa","Bobby Peel","Marvel Science Stories","Epsilon Eridani"
2016-11-08,17,23,64,42,63,17,18,19,177
2016-11-09,12,13,47,31,45,11,12,14,140
2016-11-10,10,15,55,19,56,9,11,10,132
2016-11-11,6,21,42,30,39,8,17,13,115
2016-11-12,10,11,35,20,62,7,5,10,153
2016-11-13,32,17,53,32,44,8,11,12,149
2016-11-14,22,14,61,29,47,10,20,18,151
2016-11-15,6,16,66,31,61,10,17,13,212
2016-11-16,11,18,71,19,48,8,7,12,166
2016-11-17,12,17,65,26,40,5,9,14,192
2016-11-18,5,11,50,36,48,8,14,13,201
2016-11-19,13,13,37,25,40,10,16,19,140
2016-11-20,11,11,45,28,47,6,8,14,155
2016-11-21,27,8,53,19,39,7,6,11,195
2016-11-22,15,17,63,29,57,8,11,11,166
2016-11-23,27,9,54,10,32,3,18,15,157
2016-11-24,9,17,38,25,43,7,13,13,122
2016-11-25,26,21,43,44,58,6,11,11,134
2016-11-26,23,17,37,33,43,11,18,14,150
2016-11-27,12,16,45,22,69,8,15,15,163
2016-11-28,15,23,55,33,61,7,15,15,201
2016-11-29,20,26,56,25,61,12,17,19,199
2016-11-30,11,15,44,45,43,7,16,9,199
2016-12-01,17,17,30,20,47,12,13,18,171
2016-12-02,16,30,57,27,48,7,13,16,174
2016-12-03,13,16,47,38,50,9,15,16,128
2016-12-04,13,19,49,22,64,16,17,21,133
2016-12-05,8,21,54,31,55,12,15,17,180
2016-12-06,14,18,60,46,64,11,11,14,186
2016-12-07,12,14,64,41,42,5,7,13,197
2016-12-08,4,22,53,42,67,11,13,13,204
2016-12-09,18,23,59,28,64,15,16,23,188
2016-12-10,16,19,61,25,41,11,14,49,149
2016-12-11,6,9,76,32,31,8,11,19,136
2016-12-12,9,19,58,33,50,17,15,24,215
2016-12-13,12,14,43,31,53,6,15,16,182
2016-12-14,16,18,51,19,44,10,14,10,160
2016-12-15,9,18,64,36,46,9,12,8,148
2016-12-16,13,17,67,39,40,13,23,28,134
2016-12-17,17,20,67,20,38,15,15,17,125
2016-12-18,50,14,49,25,38,10,20,12,185
2016-12-19,16,33,52,46,37,10,11,13,169
2016-12-20,9,123,54,28,39,6,11,10,149
