Date,"Brazilian battleship São Paulo","Death of Leelah Alcorn","Qatna","William Borah","Birthday-number effect"
2016-11-07,57,321,24,129,0
2016-11-08,64,330,29,200,0
2016-11-09,33,749,23,144,0
2016-11-10,46,924,32,166,0
2016-11-11,40,490,17,129,0
2016-11-12,38,361,33,135,0
2016-11-13,46,351,25,152,0
2016-11-14,50,363,25,229,0
2016-11-15,60,557,32,141,0
2016-11-16,42,670,24,129,0
2016-11-17,50,453,50,143,0
2016-11-18,51,469,38,101,0
2016-11-19,60,356,33,154,0
2016-11-20,56,932,26,160,0
2016-11-21,149,2294,40,144,0
2016-11-22,1583,841,30,173,0
2016-11-23,68,746,19,146,0
2016-11-24,62,374,26,117,0
2016-11-25,56,317,28,122,0
2016-11-26,46,294,23,116,0
2016-11-27,47,433,20,123,0
2016-11-28,53,326,33,141,0
2016-11-29,67,377,28,178,0
2016-11-30,41,467,30,131,0
2016-12-01,31,480,17,191,0
2016-12-02,43,492,29,123,0
2016-12-03,56,311,36,116,0
2016-12-04,47,306,33,166,0
2016-12-05,69,333,24,166,0
2016-12-06,67,781,51,400,0
2016-12-07,80,359,43,157,0
2016-12-08,71,354,34,161,0
2016-12-09,71,264,30,131,0
2016-12-10,52,239,31,145,0
2016-12-11,33,349,26,147,0
2016-12-12,42,348,40,141,0
2016-12-13,40,305,76,113,0
2016-12-14,32,286,61,139,0
2016-12-15,53,254,27,125,0
2016-12-16,51,215,25,156,0
2016-12-17,38,253,31,122,0
2016-12-18,49,330,46,126,0
2016-12-19,43,293,35,157,0
2016-12-20,44,224,34,139,0
2016-12-21,32,241,23,251,0
2016-12-22,47,209,26,134,0
2016-12-23,41,212,16,107,0
2016-12-24,484,194,23,73,0
2016-12-25,36,217,24,83,0
2016-12-26,27,176,29,122,0
2016-12-27,24,230,19,210,0
2016-12-28,41,847,23,124,0
2016-12-29,34,2193,36,170,0
2016-12-30,36,1262,28,263,0
2016-12-31,37,699,17,162,0
2017-01-01,27,346,19,117,0
2017-01-02,30,337,25,140,0
