Date,"Donnchadh, Earl of Carrick","Kona Lanes","SMS Kaiser Barbarossa","Carnotaurus","Shakespeare authorship question","The Shape of Things to Come (Lost)","George Calvert, 1st Baron Baltimore","Heffernan v. City of Paterson","The Greencards"
2016-10-03,21,13,12,380,537,43,313,49,18
2016-10-04,6,3,11,350,558,37,366,225,13
2016-10-05,14,5,11,385,546,17,363,50,13
2016-10-06,11,6,11,335,510,48,308,40,26
2016-10-07,14,3,12,371,459,43,253,32,16
2016-10-08,30,7,16,336,392,41,160,27,18
2016-10-09,16,6,19,381,414,41,179,19,12
2016-10-10,29,6,11,415,408,42,311,54,24
2016-10-11,21,5,13,389,489,44,312,31,31
2016-10-12,22,11,12,328,542,37,358,34,30
2016-10-13,16,7,13,334,602,39,334,49,25
2016-10-14,19,8,16,403,462,41,250,38,20
2016-10-15,15,17,14,343,381,144,168,23,23
2016-10-16,19,8,10,426,472,57,215,40,19
2016-10-17,21,10,15,398,643,41,447,49,10
2016-10-18,21,4,18,422,552,43,339,44,25
2016-10-19,22,7,13,356,551,40,267,32,19
2016-10-20,19,8,12,415,474,40,255,45,22
2016-10-21,15,6,13,389,411,44,202,48,26
2016-10-22,17,0,7,379,379,28,144,17,19
2016-10-23,22,4,10,435,498,48,195,25,18
2016-10-24,15,7,12,387,1189,37,249,46,36
2016-10-25,22,6,18,349,1277,35,260,41,19
2016-10-26,24,8,9,376,782,37,244,37,27
2016-10-27,20,6,21,335,630,35,235,42,29
2016-10-28,19,8,24,355,529,37,236,54,24
2016-10-29,11,11,8,363,401,22,131,15,18
2016-10-30,19,13,21,328,407,38,143,36,19
2016-10-31,12,7,17,326,585,42,233,44,21
2016-11-01,12,2,18,356,789,42,231,40,25
2016-11-02,23,5,5,363,661,41,230,52,28
2016-11-03,12,7,13,368,630,32,186,37,21
2016-11-04,14,8,19,364,586,33,177,30,24
2016-11-05,17,9,12,311,388,31,184,20,21
2016-11-06,15,8,11,404,452,67,190,24,22
2016-11-07,23,17,15,412,572,39,211,53,24
2016-11-08,23,1,22,343,626,44,195,46,35
2016-11-09,17,7,10,289,549,37,199,37,19
2016-11-10,12,4,19,365,524,31,212,46,23
2016-11-11,15,15,12,345,408,28,188,43,24
2016-11-12,18,7,8,344,315,27,142,21,62
2016-11-13,23,8,13,387,398,36,149,43,13
