Date,"Interstate 96","Sea mink","1966 New York City smog","Black vulture","New Worlds (magazine)","38th (Welsh) Infantry Division","Battle of Winterthur","X-Cops (The X-Files)","Josephine Butler"
2016-09-11,92,157,39,298,28,89,0,118,93
2016-09-12,101,181,52,298,29,104,0,138,121
2016-09-13,90,174,23,318,37,119,2,104,90
2016-09-14,77,198,35,256,32,104,1,95,81
2016-09-15,85,224,28,289,26,78,0,92,105
2016-09-16,102,163,24,742,25,26,1,103,56
2016-09-17,84,142,25,290,40,35,0,83,60
2016-09-18,102,188,29,305,31,33,0,119,85
2016-09-19,89,202,56,285,31,30,2,119,82
2016-09-20,99,198,110,295,34,30,0,108,122
2016-09-21,94,176,20,305,37,28,1,111,115
2016-09-22,93,249,66,478,305,32,2,221,62
2016-09-23,309,260,19,301,29,557,0,102,65
2016-09-24,77,193,81,286,31,25,1,88,111
2016-09-25,105,184,49,342,19,22,0,112,176
2016-09-26,65,230,47,276,28,37,2,109,173
2016-09-27,65,208,21,300,29,25,1,87,158
2016-09-28,97,203,46,300,36,28,1,95,176
2016-09-29,117,256,36,290,34,116,0,143,176
2016-09-30,89,201,24,271,25,113,0,109,154
2016-10-01,64,163,6,288,29,96,1,100,133
2016-10-02,92,181,39,361,28,87,0,125,145
2016-10-03,83,206,31,327,37,118,0,111,177
2016-10-04,108,236,26,234,30,123,0,116,179
2016-10-05,82,226,23,257,19,122,0,95,172
2016-10-06,88,197,38,265,41,104,1,111,157
2016-10-07,104,160,47,215,29,111,0,149,150
2016-10-08,109,150,27,249,35,93,3,132,146
2016-10-09,89,162,44,285,24,78,1,124,143
2016-10-10,81,155,45,309,24,109,1,160,179
2016-10-11,82,177,45,262,24,100,0,488,151
2016-10-12,74,214,19,260,34,96,0,316,166
2016-10-13,77,223,25,247,34,114,0,166,185
2016-10-14,108,201,22,243,26,87,1,149,168
2016-10-15,98,158,21,308,22,24,0,140,141
2016-10-16,98,198,20,348,23,46,0,181,165
2016-10-17,90,200,30,283,32,53,1,157,182
2016-10-18,84,227,33,294,43,40,1,131,194
2016-10-19,78,242,25,288,38,30,0,139,229
2016-10-20,89,202,32,260,28,49,0,118,222
2016-10-21,99,193,25,293,27,22,0,90,172
2016-10-22,79,132,14,244,20,20,0,91,136
2016-10-23,77,148,16,298,29,29,0,126,133
2016-10-24,87,217,31,328,31,29,0,126,202
2016-10-25,89,171,35,306,33,35,0,109,246
2016-10-26,76,239,33,268,30,22,1,123,209
2016-10-27,91,235,28,305,20,26,0,103,164
2016-10-28,112,193,31,428,33,40,0,104,200
2016-10-29,90,162,26,259,20,31,1,101,177
2016-10-30,91,201,39,285,26,32,1,110,181
2016-10-31,113,258,35,310,32,28,0,118,166
2016-11-01,124,235,36,297,27,38,1,107,196
2016-11-02,70,257,50,289,27,23,1,90,215
